'arf             	fél/fele         
acronym          	mozaikszó        
across           	keresztül        
across-the-page  	a lapon keresztül
act              	tett             
act like magic   	varázshatású     
act of oblivion  	amnesztia        
acting           	helyettes        
action           	tevékenység      
action for libel 	rágalmazási per  
actionable       	perelhetõ        
activate         	aktivál          
active           	mûködõ           
active debts     	kinnlevõségek    
active flag      	mûködésjelzõ     
active voice     	cselekvõ igealak 
activities       	tevékenységek    
activity         	tevékenység      
actor            	színész          
actress          	színésznõ        
acts             	tettek           
actual           	tényleges        
actual value     	tényleges érték  
actuality        	valóság          
actualize        	megvalósít       
actually         	valóban          
actuate          	mozgásba hozni   
acuity           	éleselméjûség    
acumen           	eszesség         
acupuncture      	akupunktúra      
acute            	éles             
acuteness        	hevesség         
ad infinitum     	végtelenségig    
adam             	Ÿdám             
adamant          	gyémántkeménységû
adam's apple     	ádámcsutka       
adapt            	átdolgoz         
adaptability     	alkalmazkodóképes
adaptable        	alkalmazható     
adaptation       	alkalmazkodás    
adapter          	illesztõ         
adaptor          	illesztõ         
add              	hozzáad          
add in           	hozzáír          
add to           	hozzáad          
add together     	összead          
add zest to      	sajátos színt ad 
added            	hozzáadta        
addend           	összeadandó      
addenda          	pótlás           
addendum         	függelék         
adder            	vipera           
addict           	rabja            
addicted to love 	a szerelem rabja 
addiction        	káros szenvedély 
adding           	hozzáadva        
addition         	összegzés        
additional       	pótlólagos       
additionally     	pótlólagosan     
additive         	adalékanyag      
addle            	megrohaszt       
addled egg       	záptojás         
addle-headed     	tökfejû          
addle-pated      	zavarodott       
address          	cím              
addressable      	címezhetõ        
addressed        	címzett          
addressee        	címzett          
addresses        	címek            
address-pair     	cím-pár          
address-relative 	relatív címzés   
address-relocatio	cím-áthelyezés   
adds             	hozzáad          
adduce           	hivatkozik/elõhoz
adept            	hozzáértõ        
adequacy         	megfelelés       
adequate         	kielégítõ        
adhere           	tapad            
adherence        	tapadás          
adherent         	tapadó           
adhesion         	(oda)tapadás     
adhesive         	ragadós          
adhesive plaster 	ragtapasz        
adhesive tape    	ragasztószalag   
adipose          	zsíros           
adjacent         	szomszédos       
adjective        	melléknév        
adjoin           	csatlakozik      
adjoining        	szomszédos       
adjoint          	egyesített       
adjourn          	elnapol          
adjournment      	elhalasztás      
adjudge          	odaitél          
adjudicate       	megitél          
adjudication     	ítélet/döntés    
adjudicator      	(döntõ)bíró      
adjunct          	segéd            
adjure           	ünnepélyesen felk
adjust           	beállít          
adjust to        	alkalmazkodik    
adjustäadjusts   	beállít(ás)      
adjustable       	beállítható      
adjuster         	kárbecslõ        
adjusting screw  	(be)állítócsavar 
adjustment       	kiegyenlítés     
adjusts          	beállítások      
ad-lib           	rögtönöz         
ad-man           	reklámügynök     
administer       	igazgat/kormányoz
administration   	adminisztráció   
administrator    	ügyintézõ        
admirable        	csodálatos       
admiral          	tengernagy       
admire           	megcsodál        
admirer          	csodáló          
admiring         	csodáló          
admiringly       	csodálattal      
admissibility    	megengedhetõség  
admissible       	elfogadható      
admission        	bejutás          
admit            	beenged          
admittance       	beengedés        
admittedly       	kétségkívül      
admix            	hozzákever       
admixture        	hozzákeverés     
admonish         	megdorgál        
admonition       	dorgálás         
admonitory       	figyelmeztetõ    
ado              	felhajtás/hûhó/lá
adolescence      	serdülõkor       
adolescent       	kamasz(korú)     
adolesent        	serdülõ          
adopt            	elfogad          
adopted          	örökbe fogadott  
adoption         	örökbefogadás    
adoptive         	örökbe fogadó    
adorable         	imádni való      
adoration        	imádat           
adore            	imád             
adorn            	díszít           
adornment        	díszítés         
adress           	cím              
adresses         	címek            
adrift           	hánykolódva      
adroit           	ügyes            
adroitness       	ügyesség         
adsorb           	felszív          
adulate          	hízeleg          
adulation        	hízelgés/nyalás  
adult            	felnõtt          
adulterate       	(meg)hamisít     
adulterated      	hamisított       
adulteration     	(meg)hamisítás   
adulterer        	házasságtörõ férf
adulteress       	házasságtörõ nõ  
adulterous       	házasságtörõ     
adultery         	házasságtörés    
adulthood        	felnõttkor       
adumbrate        	vázol/sejtet     
advance          	haladás/fejlõdés 
advance booking  	elõjegyzés       
advance in price 	áremelkedés      
advance money    	elõleg           
advance payment  	elõleg           
advanced         	haladó           
advancement      	elõléptetés      
advantage        	elõny            
advantageous     	elõnyös          
advent           	megérkezés       
adventitious     	mellékes/esetlege
adventure        	kaland           
adventurer       	kalandor         
adventuress      	kalandor nõ      
adventurous      	kalandos/vakmerõ 
adverb           	határozószó      
adversary        	ellenfél         
adverse          	ellentétes       
adversity        	szerencsétlenség 
advert           	utal             
advertise        	reklámoz         
advertisement    	hirdetés         
advertiser       	hirdetõ          
advertising      	hirdetés         
advertising copy 	reklámszöveg     
advice           	tanács           
advisability     	ajánlatosság     
advisable        	ajánlatos        
advise           	tanácsol         
adviser          	tanácsadó        
advisor          	tanácsadó        
advisory         	tanácsadó        
advocacy         	pártfogás        
advocate         	szószóló         
adz              	szekerce         
adze             	fejsze           
aerate           	szellõztet       
aerated water    	szódavíz         
aerial           	antenna          
aerial torpedo   	légitorpedó      
aerobics         	aerobik          
aero-engine      	repülõgéphajtómû 
aeroplane        	repülõgép        
aerosol          	aeroszolos palack
aery             	sasfészek        
aesthete         	esztéta          
aesthetic        	esztétikus       
aesthetical      	ízléses          
aesthetics       	esztétika        
aestival         	nyári            
afar             	messze           
afar off         	messze           
affable          	elõzékeny/nyájas 
affair           	ügy              
affairs of state 	államügyek       
affect           	befolyásol       
affectation      	színlelés        
affected         	mesterkélt       
affecting        	megindító        
affection        	szeretet/vonzalom
affectionate     	szeretõ          
affiance         	eljegyez         
affiliate        	egyesít          
affiliation      	kapcsolat        
affinity         	rokonsági viszony
affirm           	(meg)erõsít/állít
affirmation      	állítás          
affirmative      	igenlõ           
affix            	hozzáerõsít      
afflict          	kínoz            
affliction       	szenvedés        
affluence        	jólét            
affluent         	gazdag           
afford           	nyújt            
afforest         	erdõsít          
afforestation    	erdõsítés        
affranchise      	felszabadít      
affray           	zavargás         
affront          	sértés           
afield           	szabadban        
afire            	égõ              
aflame           	lángokban álló   
afloat           	úszó             
afoot            	gyalogos         
afore            	elõtt            
aforementioned   	fent említett    
aforesaid        	fentemlitett     
afraid           	félõ             
afresh           	újra elõrõl      
africa           	afrika           
african          	afrikai          
after            	után(a)          
after a fashion  	úgy-ahogy        
after all        	végül is/elvégre 
after dark       	besötétedés után 
after hours      	munkaidõ után    
after that       	azután           
after you!       	csak ön után     
after-ages       	utókor           
after-care       	utókezelés       
aftercrop        	sarjú            
after-days       	jövendõ          
after-effect     	utóhatás         
afterglow        	alkonypír        
afterlife        	túlvilág         
after-life       	utóélet          
aftermath        	következmény     
aftermost        	leghátsó         
afternoon        	délután          
afternoon tea    	ötórai tea       
after-taste      	utóíz            
afterthought     	utógondolat      
afterward        	utána            
afterwards       	késõbb           
again            	újra             
against          	ellen            
against the sun  	jobbról balra    
agape            	tátott szájjal   
age              	életkor          
age limit        	korhatár         
age of consent   	törvényes kor    
age of romance   	lovagkor         
aged             	koros            
age-group        	korosztály       
ageing           	öregedõ          
ageless          	örökifjú/kortalan
age-long         	évszázados       
agency           	ügynökség        
agenda           	napirend         
agent            	ügynök           
age-old          	õsrégi           
agglomerate      	felhalmozott     
agglomeration    	felhalmozódás    
agglutinate      	összeragaszt/ille
aggrandizement   	gazdagodás       
aggravate        	súlyosbít        
aggravation      	súlyosbítás      
aggregate        	összeg           
aggregation      	felhalmozás      
aggression       	támadás/agresszió
aggressor        	agresszor        
aggrieve         	bosszant         
aghast           	megdöbbent       
agile            	agilis           
agility          	agilitás         
aging            	öregedõ          
agitate          	(meg)mozgat      
agitated         	izgatott/zavaros 
agitation        	agitálás         
agitator         	agitátor         
aglow            	lángoló(an)      
agnes            	Ÿgnes            
ago              	ezelõtt          
agog             	izgatott(an)     
agonize          	kínlódik         
agonized         	aggodalmas       
agonizing        	gyötrelmet okozó 
agony            	nagy lelki fájdal
agrarian         	mezõgazdasági    
agree            	egyetért         
agreeable        	kellemes         
agreement        	megállapodás     
agricultural     	mezõgazdasági    
agriculture      	mezõgazdaság     
aground          	zátony           
ague             	mocsárláz        
ah               	ah               
aha              	na ugye!         
ahead            	elõre            
ahoy             	vigyázz! hopp!   
aid              	segítség         
aidpoint         	mûszaki segélyhel
aid-post         	segélyhely       
aids             	szerzett immunhiá
ail              	bánt             
ailing           	fájó, beteg      
ailment          	betegség         
aim              	cél              
aim at           	céloz            
aim high         	nagyra tör       
aimless          	céltalan         
ain't            	nincs            
air              	levegõ           
air bed          	gumimatrac       
air conditioning 	légkondicionálás 
air cooling      	léghûtés         
air filter       	légszûrõ betét   
air freshener    	légfrissítõ      
air hostess      	légi utaskísérõ  
air letter       	légiposta        
air passenger    	légiutas         
air pollution    	légszennyezés    
air pump         	pumpa            
air rifle        	légpuska         
air sleeve       	szélzsák         
air space        	légtér           
air terminal     	városi iroda     
air ticket       	repülõjegy       
air transport    	légi szállítás   
air-attack       	légitámadás      
air-balloon      	léggömb          
air-base         	légitámaszpont   
air-bed          	gumimatrac       
airborne         	repülés közben   
air-brake        	légfék           
airbrush         	festékszóró piszt
airbus           	légibusz         
air-conditioned  	légkondicionált  
air-conditioning 	légkondicionálás 
air-cooled       	léghûtéses       
aircraft         	repülõgép        
air-crew         	repülõszemélyzet 
air-cushion      	légpárna         
air-duct         	szellõzõcsõ      
airer            	ruhaszárító kötél
airfield         	reptér           
air-fight        	légiharc         
air-flow         	légáramlat       
airgap           	légrés           
airgun           	légpuska         
air-hole         	légakna          
air-hostess      	légikisasszony   
airily           	könnyedén        
airiness         	könnyedség       
airing           	szellõztetés     
airless          	levegõtlen       
air-lift         	légihíd          
airline          	légitársaság     
airliner         	utasszállító repü
airmail          	légiposta        
airman           	pilóta           
airmen           	pilóta           
air-minded       	repülést kedvelõ 
airplane         	repülõgép        
airport          	repülõtér        
airport fee      	reptéri illeték  
airport tax      	reptéri illeték  
air-pump         	légpumpa         
air-raid alarm   	légiriadó        
air-raid shelter 	légópince        
air-route        	légi útvonal     
airscrew         	propeller        
air-shaft        	légakna          
airship          	léghajó          
air-sick         	légibeteg        
air-sickness     	légibetegség     
airstrip         	kifutópálya      
airtight         	légmentes        
airway           	légi útvonal     
airways          	légitársaság     
airwoman         	pilótanõ         
airworthy        	repülésre alkalma
airy             	levegõs          
aisie            	oldalhajó        
aisle            	folyosó          
aitch            	<a h hang kiejtés
aitch-bone       	csípõcsont       
ajar             	félig nyitott    
akin             	hasonló/rokon jel
alabama          	alabama          
alabaster        	alabástrom       
alack            	óh jaj!          
alacrity         	fürgeség         
alarm            	riadó            
alarm clock      	ébresztõ óra     
alarm-bell       	vészcsengõ       
alarm-clock      	ébresztõóra      
alarming         	riasztó          
alarmist         	rémeket látó     
alarm-signal     	vészjel          
alas             	sajna!           
albatross        	viharmadár       
albeit           	habár            
albert           	albert           
albino           	albínó           
albion           	anglia           
album            	album            
albumen          	tojásfehérje     
albumin          	fehérje          
alchemist        	alkimista        
alchemy          	alkímia          
alcohol          	alkohol          
alcohol content  	szesztartalom    
alcoholic        	szeszes          
alcoholic drink  	szeszes ital     
alcove           	hálófülke        
alder            	égerfa           
alderman         	városatya        
aldermen         	tanácsnok        
ale              	világos sör      
ale-house        	kocsma           
alert            	óvatos           
alerting         	riasztás         
alertness        	óvatosság        
alex             	sanyi            
alexander        	sándor           
alfalfa          	lucerna          
algebra          	algebra          
algebraic        	algebrai         
algorithm        	algoritmus       
alias            	álnév            
aliases          	álnevek          
alibi            	alibi            
alien            	idegen           
alienable        	elidegeníthetõ   
alienate         	elidegenít       
alienation       	elidegenítés     
alienist         	elme orvos/szakér
aliens           	földönkívüliek   
alight           	leszállni        
alight on        	rászáll          
alight up        	ráakad           
alight upon      	rátalál          
align            	(fel)sorakoztat  
aligned          	összehangolt     
alignment        	sorbaállítás     
aligns           	elrendezések     
aligns           	igazítások       
alike            	hasonló          
aliment          	élelem           
alimentary       	tápláló          
alimony          	tartásdíj        
alive            	élõ              
all              	összes           
all aboard       	beszállás        
all alone        	teljesen egyedül 
all anyhow       	éppen, hogy csak 
all but          	majdnem          
all by yourself  	teljes egyedül   
all change!      	végállomás!      
all day          	egész nap        
all day long     	egész napon át   
all fool's day   	április elseje   
all fools' day   	április elseje   
all in a flurry  	izgatottan       
all in a glow    	felhevülten      
all in one       	összesítve       
all is vanity    	hiúságok hiúsága 
all kinds of     	sokféle          
all morning      	egész reggel     
all night        	egész éjjel      
all of them      	mindegyikük      
all of us        	mindannyian      
all of you       	ti mind          
all right        	rendben van      
all sorts of     	mindenféle       
all soul's day   	halottak napja   
all such as      	mindazok, akik   
all that         	mindaz           
all the better   	annál jobb       
all the boys     	minden fiú       
all the girls    	minden lány      
all the same     	teljesen mindegy 
all the while    	mindvégig        
all through      	mindvégig        
all too well     	nagyon is jól    
all wool         	tiszta gyapjú    
allay            	enyhít/csillapít 
all-day          	egész napos      
allegation       	állítás          
allege           	állít            
alleged          	állítólagos      
allegedly        	állítólag        
allegiance       	állampolgári hûsé
allegorical      	jelképes/képletes
allergic         	allergiás        
allergy          	allergia         
alleviate        	enyhít/csillapít 
alleviation      	csillapítás      
alley            	fasor            
alley-way        	sikátor          
alliance         	szövetség        
allied           	szövetséges      
allies           	szövetségesek    
alligator        	aligátor         
all-important    	nagyon fontos    
all-in price     	teljes ár        
allison          	alíz             
all-night        	egész éjjel      
allocate         	kioszt           
allocate memory  	memóriafoglalás  
allocated        	(le)foglalt      
allocates        	(le)foglal       
allocation       	kiosztás         
allocation error 	lefoglalási hiba 
allot            	kioszt           
allotment        	kiosztás         
all-out          	teljes igyekezet 
allow            	megenged         
allow for        	figyelembe véve  
allowable        	megengedett      
allowance        	(ár)engedmény    
allowed          	megengedve       
allowing         	megengedve       
allowing for     	figyelembe véve  
allows           	megenged         
alloy            	ötvözet          
all-powerful     	mindenható       
all-round        	sokoldalú        
all-rounder      	univerzális ember
all-time         	mindenkori       
allude           	utal/említ/céloz 
allure           	csábít           
allurement       	csábos vonzerõ   
alluring         	vonzó/csábító    
allusion         	hivatkozás       
allusive         	utaló/célzó      
all-weather      	minden idõjárásná
almanac          	évkönyv          
almighty         	mindenható       
almond           	mandula          
almost           	majdnem          
alms             	alamizsna        
alms-house       	szegényház, menhe
aloes            	hashajtó         
aloft            	fenn, a magasban 
alone            	egyedül          
along            	mentében         
along the road   	az út mentén     
along the way    	útközben         
along with       	együtt           
alongside        	hosszában        
aloof            	zárkózott        
aloofness        	zárkózottság     
aloud            	hangosan         
alp              	havas            
alpenstock       	hegymászóbot     
alpha            	alfa             
alphabet         	abc              
alphabetic       	betûkbõl álló    
alphabetical     	betûrendes       
alphabetically   	betûrendben      
alpine           	alpesi           
alpinist         	hegymászó        
alps             	havasok          
already          	már              
also             	szintén          
altar            	oltár            
altar-boy        	ministrás        
altar-piece      	oltárkép         
alter            	változik         
alteration       	változás         
altercation      	perlekedés/cívódá
altered          	megváltoztatott  
alternate        	változó          
alternately      	váltakozva       
alternating      	váltakozó        
alternation      	váltakozás       
alternative      	vagylagos        
alternatively    	vagylagosan      
although         	habár            
altimeter        	magasságmérõ     
altitude         	magasság         
altogether       	teljesen         
altruism         	önzetlenség      
altruist         	önzetlen         
alum             	timsó            
alumnus          	öregdiák         
alveolar         	mássalhangzó     
always           	mindig           
ally             	szövetséges      
am               	(vagyok)         
am i             	vagyok           
am i to do it?   	megcsináljam?    
amalgamate       	egybeolvaszt     
amalgamation     	egyesítés        
amanuenses       	írnokok          
amanuensis       	titkár/írnok     
amass            	felhalmoz        
amateur          	amatõr, mûkedvelõ
amateurish       	szakszerûtlen/kon
